G: [ 3.1415, 0 ]
P: [ 1.21701, 0.0377573 ]
K: [ 1.35664, 0.0377573 ]
K: [ 1.07738, 0.0377573 ]
K: [ 1.21701, 0.177384 ]
K: [ 1.21701, -0.101869 ]
P: [ 1.21701, -0.381121 ]
K: [ 1.35664, -0.381121 ]
K: [ 1.21701, -0.241495 ]
P: [ 1.21701, 0.177384 ]
K: [ 1.35664, 0.177384 ]
K: [ 1.07738, 0.177384 ]
K: [ 1.21701, 0.31701 ]
K: [ 1.21701, 0.0377573 ]
P: [ 2.33402, -1.77738 ]
K: [ 2.47365, -1.77738 ]
K: [ 2.19439, -1.77738 ]
K: [ 2.33402, -1.63776 ]
K: [ 2.33402, -1.91701 ]
P: [ 1.35664, 0.735888 ]
K: [ 1.49626, 0.735888 ]
K: [ 1.21701, 0.735888 ]
K: [ 1.35664, 1.15477 ]
K: [ 1.35664, 0.31701 ]
P: [ 1.21701, 0.31701 ]
K: [ 1.35664, 0.31701 ]
K: [ 1.07738, 0.31701 ]
K: [ 1.21701, 0.596262 ]
K: [ 1.21701, 0.0377573 ]
P: [ 1.49626, 1.01514 ]
K: [ 1.35664, 1.01514 ]
K: [ 1.49626, 1.15477 ]
K: [ 1.49626, 0.875515 ]
P: [ 3.03215, -1.91701 ]
K: [ 2.89252, -1.91701 ]
K: [ 3.03215, -1.77738 ]
K: [ 3.03215, -2.05664 ]
P: [ 2.89252, -1.91701 ]
K: [ 3.03215, -1.91701 ]
K: [ 2.7529, -1.91701 ]
K: [ 2.89252, -1.77738 ]
K: [ 2.89252, -2.05664 ]
P: [ 2.7529, -1.91701 ]
K: [ 2.89252, -1.91701 ]
K: [ 2.61327, -1.91701 ]
K: [ 2.7529, -1.77738 ]
K: [ 2.7529, -2.05664 ]
